"ee.Taxon","N","Definition"
"human",9,"congestive heart failure"
"human",9,"dermatitis"
"mouse",9,"benign neoplasm"
"human",9,"X-linked monogenic disease"
"human",9,"dermatomyositis"
"mouse",9,"intellectual disability"
"mouse",9,"psychotic disorder"
"mouse",9,"schizophrenia"
"human",9,"cardiomyopathy"
"human",9,"pilocytic astrocytoma"
"rat",9,"developmental disorder of mental health"
"rat",9,"cell type cancer"
"human",9,"bladder carcinoma"
"human",9,"thyroid gland papillary carcinoma"
"human",9,"in situ carcinoma"
"rat",9,"gastrointestinal system cancer"
"mouse",9,"prostate cancer"
"mouse",9,"male reproductive organ cancer"
"mouse",9,"prostate disease"
"mouse",9,"male reproductive system disease"
"human",9,"Her2-receptor negative breast cancer"
"human",9,"ovary serous adenocarcinoma"
"mouse",9,"spinal disease"
"mouse",9,"glioblastoma multiforme"
"mouse",9,"astrocytoma"
"mouse",9,"malignant glioma"
"mouse",9,"pancreas disease"
"human",9,"substance-related disorder"
"mouse",9,"coronary artery disease"
"mouse",9,"myocardial infarction"
"rat",9,"synucleinopathy"
"rat",9,"Parkinson's disease"
"human",9,"dementia"
"rat",9,"peripheral nervous system disease"
"rat",9,"neuropathy"
"mouse",9,"peripheral nervous system disease"
"mouse",9,"neuropathy"
"rat",8,"endocrine system disease"
"rat",8,"genetic disease"
"mouse",8,"kidney disease"
"human",8,"atherosclerosis"
"human",8,"arteriosclerotic cardiovascular disease"
"human",8,"arteriosclerosis"
"human",8,"testicular disease"
"human",8,"parasitic infectious disease"
"human",8,"parasitic protozoa infectious disease"
"mouse",8,"cerebral malaria"
"rat",8,"immune system disease"
"human",8,"pulmonary hypertension"
"human",8,"lung small cell carcinoma"
"human",8,"endometrial carcinoma"
"mouse",8,"bronchial disease"
"human",8,"cardiovascular organ benign neoplasm"
"mouse",8,"lung adenocarcinoma"
"mouse",8,"X-linked recessive disease"
"human",8,"X-linked recessive disease"
"mouse",8,"autosomal recessive disease"
"human",8,"autosomal recessive cerebellar ataxia"
"human",8,"facioscapulohumeral muscular dystrophy"
"human",8,"central nervous system benign neoplasm"
"mouse",8,"bone inflammation disease"
"mouse",8,"arthritis"
"human",8,"skeletal muscle cancer"
"human",8,"breast carcinoma in situ"
"human",8,"grade III astrocytoma"
"rat",8,"thoracic disease"
"rat",8,"breast cancer"
"rat",8,"breast disease"
"rat",8,"thoracic cancer"
"human",8,"adrenal cortex disease"
"mouse",8,"lymphocytic leukemia"
"human",8,"bile duct disease"
"human",8,"biliary tract disease"
"human",8,"Burkitt lymphoma"
"human",8,"marginal zone B-cell lymphoma"
"mouse",8,"integumentary system disease"
"mouse",8,"skin disease"
"human",8,"triple-receptor negative breast cancer"
"mouse",8,"pancreatic cancer"
"mouse",8,"Down syndrome"
"human",8,"substance abuse"
"rat",8,"hypertension"
"human",7,"lipid metabolism disorder"
"mouse",7,"type 1 diabetes mellitus"
"rat",7,"diabetes mellitus"
"human",7,"pulmonary tuberculosis"
"mouse",7,"influenza"
"mouse",7,"Coronavirus infection"
"mouse",7,"severe acute respiratory syndrome"
"human",7,"nose disease"
"human",7,"interstitial lung disease"
"human",7,"lung large cell carcinoma"
"human",7,"prostate adenocarcinoma"
"human",7,"endometrial adenocarcinoma"
"mouse",7,"asthma"
"human",7,"myocardial infarction"
"human",7,"atopic dermatitis"
"mouse",7,"X-linked dominant disease"
"mouse",7,"syndromic intellectual disability"
"mouse",7,"syndromic X-linked intellectual disability"
"mouse",7,"physical disorder"
"human",7,"physical disorder"
"human",7,"uterine benign neoplasm"
"human",7,"uterine fibroid"
"human",7,"ovarian serous carcinoma"
"human",7,"transitional cell carcinoma"
"human",7,"ductal carcinoma in situ"
"human",7,"oral cavity cancer"
"human",7,"adrenocortical carcinoma"
"human",7,"adrenal cortex cancer"
"rat",7,"carcinoma"
"human",7,"cervical squamous cell carcinoma"
"human",7,"progesterone-receptor positive breast cancer"
"human",7,"progesterone-receptor negative breast cancer"
"human",7,"synovium cancer"
"human",7,"synovial sarcoma"
"human",7,"bile duct cancer"
"human",7,"biliary tract cancer"
"human",7,"bile duct carcinoma"
"human",7,"Barrett's esophagus"
"mouse",7,"substance-related disorder"
"rat",7,"hypersensitivity reaction disease"
"rat",7,"autoimmune hypersensitivity disease"
"rat",7,"autoimmune disease of the nervous system"
"human",7,"schizoaffective disorder"
"mouse",7,"spinal muscular atrophy"
"rat",7,"cognitive disorder"
"human",6,"familial hyperlipidemia"
"human",6,"polycystic ovary syndrome"
"human",6,"malaria"
"mouse",6,"primary bacterial infectious disease"
"human",6,"hepatitis B"
"human",6,"common cold"
"mouse",6,"atherosclerosis"
"mouse",6,"arteriosclerotic cardiovascular disease"
"mouse",6,"arteriosclerosis"
"mouse",6,"hypertension"
"mouse",6,"retinal degeneration"
"mouse",6,"eye degenerative disease"
"human",6,"uveal disease"
"human",6,"malignant mesothelioma"
"human",6,"lymphangioma"
"human",6,"colonic benign neoplasm"
"human",6,"benign vascular tumor"
"mouse",6,"melanoma"
"mouse",6,"lung carcinoma"
"human",6,"nasal cavity disease"
"human",6,"allergic rhinitis"
"human",6,"rhinitis"
"human",6,"tooth disease"
"human",6,"periodontal disease"
"human",6,"renal Wilms' tumor"
"human",6,"periodontitis"
"human",6,"allergic hypersensitivity disease"
"human",6,"Cockayne syndrome"
"mouse",6,"fragile X syndrome"
"human",6,"autistic disorder"
"mouse",6,"large intestine cancer"
"mouse",6,"colorectal cancer"
"mouse",6,"fetal alcohol spectrum disorder"
"mouse",6,"cell type benign neoplasm"
"human",6,"peripheral nerve sheath neoplasm"
"human",6,"malignant peripheral nerve sheath tumor"
"rat",6,"breast carcinoma"
"rat",6,"hepatobiliary disease"
"human",6,"germ cell cancer"
"human",6,"monoclonal gammopathy of uncertain significance"
"human",6,"skin carcinoma"
"human",6,"bile duct adenocarcinoma"
"human",6,"cholangiocarcinoma"
"human",6,"esophagus squamous cell carcinoma"
"human",6,"colon adenocarcinoma"
"mouse",6,"breast carcinoma"
"human",6,"alcohol use disorder"
"rat",6,"autoimmune disease of central nervous system"
"human",6,"pre-eclampsia"
"rat",6,"pervasive developmental disorder"
"human",6,"frontotemporal dementia"
"mouse",6,"anxiety disorder"
"mouse",6,"mononeuropathy"
"mouse",6,"lesion of sciatic nerve"
"mouse",6,"mononeuritis"
"mouse",6,"mononeuritis of lower limb"
"human",6,"spinal muscular atrophy"
"rat",6,"Huntington's disease"
"mouse",6,"mental depression"
"mouse",6,"mood disorder"
"rat",5,"nutrition disease"
"rat",5,"sensory system disease"
"rat",5,"eye and adnexa disease"
"rat",5,"eye disease"
"human",5,"cystic fibrosis"
"mouse",5,"colonic disease"
"human",5,"commensal bacterial infectious disease"
"mouse",5,"parasitic helminthiasis infectious disease"
"human",5,"encephalitis"
"human",5,"spinal cord disease"
"human",5,"uveal cancer"
"human",5,"uveal melanoma"
"human",5,"pulmonary fibrosis"
"human",5,"pleural cancer"
"rat",5,"lower respiratory tract disease"
"rat",5,"respiratory system disease"
"mouse",5,"pneumonia"
"human",5,"primary immunodeficiency disease"
"human",5,"Duchenne muscular dystrophy"
"human",5,"ataxia telangiectasia"
"human",5,"sickle cell anemia"
"rat",5,"monogenic disease"
"human",5,"intrinsic cardiomyopathy"
"human",5,"dilated cardiomyopathy"
"human",5,"male infertility"
"human",5,"anaplastic large cell lymphoma"
"human",5,"neuropathy"
"rat",5,"intestinal disease"
"human",5,"ovarian clear cell carcinoma"
"human",5,"colorectal adenoma"
"human",5,"supratentorial cancer"
"human",5,"thyroid gland follicular carcinoma"
"human",5,"rhabdomyosarcoma"
"mouse",5,"bone marrow cancer"
"mouse",5,"bone marrow disease"
"rat",5,"hepatobiliary system cancer"
"human",5,"luminal breast carcinoma"
"human",5,"cutaneous T cell lymphoma"
"human",5,"rectum cancer"
"human",5,"malignant fibroxanthoma"
"human",5,"fibrosarcoma"
"human",5,"histiocytoma"
"mouse",5,"thyroid gland disease"
"human",5,"lymphadenitis"
"human",5,"lymph node disease"
"human",5,"MALT lymphoma"
"mouse",5,"integumentary system cancer"
"mouse",5,"skin cancer"
"mouse",5,"pancreatic carcinoma"
"human",5,"anemia"
"human",5,"childhood medulloblastoma"
"human",5,"Rett syndrome"
"mouse",5,"alcohol use disorder"
"mouse",5,"substance abuse"
"rat",5,"multiple sclerosis"
"rat",5,"demyelinating disease"
"human",5,"aortic disease"
"human",5,"intracranial aneurysm"
"human",5,"intracranial arterial disease"
"human",5,"cerebral arterial disease"
"human",5,"specific developmental disorder"
"rat",5,"cerebral artery occlusion"
"human",5,"kidney failure"
"mouse",5,"brain infarction"
"mouse",5,"middle cerebral artery infarction"
"mouse",5,"cerebral infarction"
"mouse",4,"type 2 diabetes mellitus"
"rat",4,"type 1 diabetes mellitus"
"mouse",4,"Gaucher's disease"
"mouse",4,"chromosomal deletion syndrome"
"mouse",4,"autistic disorder"
"human",4,"bacterial pneumonia"
"human",4,"leprosy"
"human",4,"acquired immunodeficiency syndrome"
"human",4,"trachoma"
"rat",4,"disease by infectious agent"
"human",4,"herpes simplex"
"human",4,"retinal cancer"
"human",4,"retinoblastoma"
"human",4,"retinal cell cancer"
"human",4,"retinal degeneration"
"human",4,"eye degenerative disease"
"human",4,"Sjogren's syndrome"
"mouse",4,"interstitial lung disease"
"human",4,"pleural disease"
"human",4,"malignant pleural mesothelioma"
"rat",4,"lung disease"
"human",4,"malignant epithelial mesothelioma"
"human",4,"acute myocardial infarction"
"mouse",4,"organ system benign neoplasm"
"human",4,"testicular cancer"
"mouse",4,"spinocerebellar ataxia type 1"
"mouse",4,"Duchenne muscular dystrophy"
"human",4,"pheochromocytoma"
"human",4,"paraganglioma"
"human",4,"autosomal recessive limb-girdle muscular dystrophy"
"human",4,"limb-girdle muscular dystrophy"
"human",4,"childhood type dermatomyositis"
"mouse",4,"dementia"
"human",4,"Sertoli cell-only syndrome"
"human",4,"irritable bowel syndrome"
"human",4,"adenoma"
"human",4,"pharynx cancer"
"human",4,"larynx cancer"
"human",4,"laryngeal disease"
"human",4,"leiomyoma"
"mouse",4,"fetal alcohol syndrome"
"mouse",4,"small intestine cancer"
"rat",4,"musculoskeletal system disease"
"human",4,"ganglioneuroblastoma"
"human",4,"papillary renal cell carcinoma"
"human",4,"esophagus adenocarcinoma"
"human",4,"adrenal adenoma"
"mouse",4,"acute lymphocytic leukemia"
"rat",4,"endocrine gland cancer"
"rat",4,"liver disease"
"mouse",4,"T-cell leukemia"
"mouse",4,"osteosarcoma"
"mouse",4,"skin carcinoma"
"mouse",4,"skeletal muscle cancer"
"mouse",4,"muscle cancer"
"rat",4,"adenocarcinoma"
"human",4,"lymphatic system cancer"
"human",4,"immune system cancer"
"human",4,"bladder urothelial carcinoma"
"human",4,"skin melanoma"
"human",4,"benign glioma"
"human",4,"benign ependymoma"
"mouse",4,"sarcoma"
"mouse",4,"medulloblastoma"
"mouse",4,"infratentorial cancer"
"human",4,"carotid stenosis"
"human",4,"carotid artery disease"
"human",4,"movement disease"
"rat",4,"autism spectrum disorder"
"human",4,"focal epilepsy"
"human",4,"temporal lobe epilepsy"
"mouse",4,"muscular atrophy"
"human",4,"inclusion body myositis"
"human",4,"bone remodeling disease"
"human",4,"bone resorption disease"
"human",4,"osteoporosis"
"mouse",4,"neural tube defect"
"rat",4,"Alzheimer's disease"
"rat",4,"tauopathy"
"mouse",4,"post-traumatic stress disorder"
"human",4,"blood coagulation disease"
"rat",4,"mononeuropathy"
"rat",4,"lesion of sciatic nerve"
"rat",4,"mononeuritis"
"rat",4,"mononeuritis of lower limb"
"human",4,"aplastic anemia"
"human",3,"pterygium"
"human",3,"corneal disease"
"human",3,"conjunctival pterygium"
"human",3,"familial combined hyperlipidemia"
"rat",3,"overnutrition"
"rat",3,"obesity"
"human",3,"familial hypercholesterolemia"
"rat",3,"inherited metabolic disorder"
"mouse",3,"mucopolysaccharidosis"
"human",3,"hyperglycemia"
"rat",3,"retinal vascular disease"
"rat",3,"retinal disease"
"mouse",3,"chromosomal duplication syndrome"
"human",3,"lysosomal storage disease"
"human",3,"lipid storage disease"
"mouse",3,"Niemann-Pick disease"
"human",3,"plasma cell neoplasm"
"human",3,"lepromatous leprosy"
"human",3,"Plasmodium falciparum malaria"
"human",3,"dengue shock syndrome"
"mouse",3,"schistosomiasis"
"mouse",3,"pulmonary hypertension"
"mouse",3,"microphthalmia"
"human",3,"glaucoma"
"mouse",3,"glaucoma"
"human",3,"chronic pulmonary heart disease"
"human",3,"primary pulmonary hypertension"
"human",3,"pulmonary systemic sclerosis"
"human",3,"Cor pulmonale"
"mouse",3,"pulmonary fibrosis"
"human",3,"pulmonary sarcoidosis"
"rat",3,"pulmonary artery disease"
"rat",3,"pulmonary embolism"
"human",3,"pulmonary emphysema"
"human",3,"sarcomatoid mesothelioma"
"mouse",3,"cystic fibrosis"
"human",3,"autosomal recessive limb-girdle muscular dystrophy type 2B"
"human",3,"Friedreich ataxia"
"human",3,"adrenal gland pheochromocytoma"
"human",3,"malignant pheochromocytoma"
"human",3,"adrenal medulla cancer"
"mouse",3,"frontotemporal dementia"
"human",3,"leukodystrophy"
"human",3,"cerebral degeneration"
"human",3,"autosomal dominant cerebellar ataxia"
"rat",3,"motor neuron disease"
"rat",3,"amyotrophic lateral sclerosis"
