"ee.Taxon","Definition.x","Definition.y","N"
"human","nitrogen molecular entity","organ system cancer",118
"mouse","molecule","disease",117
"mouse","organic molecule","disease",117
"mouse","organooxygen compound","disease",114
"human","s-block molecular entity","disease",112
"human","aromatic compound","disease of anatomical entity",112
"human","organic aromatic compound","disease of anatomical entity",112
"human","heteroatomic molecular entity","disease of cellular proliferation",112
"human","heteroatomic molecular entity","cancer",112
"human","aromatic compound","disease of cellular proliferation",110
"human","aromatic compound","cancer",110
"human","organic aromatic compound","disease of cellular proliferation",110
"human","organic aromatic compound","cancer",110
"mouse","heteroorganic entity","disease of anatomical entity",108
"mouse","pnictogen molecular entity","disease",107
"mouse","nitrogen molecular entity","disease",107
"human","hydrogen molecular entity","disease",107
"human","organic heterocyclic compound","disease of cellular proliferation",107
"human","organic heterocyclic compound","cancer",107
"human","polycyclic compound","disease",107
"human","heterocyclic compound","disease of cellular proliferation",107
"human","heterocyclic compound","cancer",107
"human","hydroxides","disease",106
"human","carbonyl compound","disease",106
"human","organic oxo compound","disease",106
"human","organic heterocyclic compound","disease of anatomical entity",105
"human","heterocyclic compound","disease of anatomical entity",105
"mouse","polyatomic entity","disease of anatomical entity",104
"human","heteroatomic molecular entity","organ system cancer",101
"human","organonitrogen heterocyclic compound","disease",100
"human","aromatic compound","organ system cancer",99
"human","organic aromatic compound","organ system cancer",99
"human","organic heterocyclic compound","organ system cancer",97
"human","heterocyclic compound","organ system cancer",97
"mouse","heteroatomic molecular entity","disease",96
"mouse","chalcogen molecular entity","disease of anatomical entity",91
"mouse","cyclic compound","disease",91
"mouse","organic cyclic compound","disease",91
"human","amide","disease",90
"mouse","organonitrogen compound","disease",88
"mouse","organochalcogen compound","disease of anatomical entity",88
"mouse","oxygen molecular entity","disease of anatomical entity",87
"human","primary amide","disease",87
"human","polycyclic compound","disease of anatomical entity",86
"human","s-block molecular entity","disease of anatomical entity",85
"mouse","organooxygen compound","disease of anatomical entity",83
"human","hydrogen molecular entity","disease of anatomical entity",83
"human","carbonyl compound","disease of anatomical entity",83
"human","organic oxo compound","disease of anatomical entity",83
"human","hydroxides","disease of anatomical entity",82
"mouse","molecule","disease of anatomical entity",81
"mouse","organic molecule","disease of anatomical entity",81
"human","polycyclic compound","disease of cellular proliferation",81
"human","polycyclic compound","cancer",81
"human","organonitrogen heterocyclic compound","disease of cellular proliferation",79
"human","organonitrogen heterocyclic compound","cancer",79
"human","organic hydroxy compound","disease",78
"mouse","pnictogen molecular entity","disease of anatomical entity",77
"mouse","nitrogen molecular entity","disease of anatomical entity",77
"human","organonitrogen heterocyclic compound","disease of anatomical entity",77
"human","organic amino compound","disease",77
"human","lipid","disease",77
"human","organic heteromonocyclic compound","disease",76
"human","monocyclic compound","disease",76
"human","heteromonocyclic compound","disease",76
"human","polycyclic compound","organ system cancer",74
"human","s-block molecular entity","disease of cellular proliferation",74
"human","s-block molecular entity","cancer",74
"human","carbonyl compound","disease of cellular proliferation",74
"human","carbonyl compound","cancer",74
"human","organic oxo compound","disease of cellular proliferation",74
"human","organic oxo compound","cancer",74
"human","carboxamide","disease",74
"human","hydroxides","disease of cellular proliferation",72
"human","hydroxides","cancer",72
"human","hydrogen molecular entity","disease of cellular proliferation",72
"human","hydrogen molecular entity","cancer",72
"human","heteroarene","disease",72
"human","organonitrogen heterocyclic compound","organ system cancer",72
"mouse","organic heterocyclic compound","disease",71
"mouse","s-block molecular entity","disease",71
"mouse","heterocyclic compound","disease",71
"human","halogen molecular entity","disease",71
"human","halide","disease",71
"mouse","cyclic compound","disease of anatomical entity",69
"mouse","organic cyclic compound","disease of anatomical entity",69
"human","amide","disease of cellular proliferation",69
"rat","chemical entity","disease",69
"human","amide","cancer",68
"human","organic heteromonocyclic compound","disease of cellular proliferation",68
"human","organic heteromonocyclic compound","cancer",68
"human","monocyclic compound","disease of cellular proliferation",68
"human","monocyclic compound","cancer",68
"human","heteromonocyclic compound","disease of cellular proliferation",68
"human","heteromonocyclic compound","cancer",68
"human","organohalogen compound","disease",68
"mouse","hydrogen molecular entity","disease",67
"human","primary amide","disease of cellular proliferation",66
"human","s-block molecular entity","organ system cancer",66
"human","lipid","disease of anatomical entity",66
"mouse","organonitrogen compound","disease of anatomical entity",65
"human","amide","disease of anatomical entity",65
"human","primary amide","cancer",65
"rat","molecular entity","disease",65
"rat","main group molecular entity","disease",65
"rat","p-block molecular entity","disease",65
"human","hydroxides","organ system cancer",64
"human","hydrogen molecular entity","organ system cancer",64
"rat","carbon group molecular entity","disease",64
"rat","organic molecular entity","disease",64
"human","carbohydrates and carbohydrate derivatives","disease",64
"mouse","hydroxides","disease",63
"mouse","heteroatomic molecular entity","disease of anatomical entity",63
"mouse","organonitrogen heterocyclic compound","disease",63
"human","organic hydroxy compound","disease of anatomical entity",63
"human","heteropolycyclic compound","disease",63
"human","carbonyl compound","organ system cancer",63
"human","organic oxo compound","organ system cancer",63
"human","organic heteropolycyclic compound","disease",63
"human","organic amino compound","disease of cellular proliferation",63
"human","primary amide","disease of anatomical entity",62
"human","organic amino compound","cancer",62
"human","organic heteromonocyclic compound","organ system cancer",61
"human","organic heteromonocyclic compound","disease of anatomical entity",61
"human","monocyclic compound","organ system cancer",61
"human","monocyclic compound","disease of anatomical entity",61
"human","heteromonocyclic compound","organ system cancer",61
"human","heteromonocyclic compound","disease of anatomical entity",61
"human","carbohydrate derivative","disease",60
"human","organic polycyclic compound","disease",59
"human","chemical entity","cell type cancer",59
"human","amide","organ system cancer",58
"human","halogen molecular entity","disease of cellular proliferation",58
"human","halogen molecular entity","cancer",58
"human","halide","disease of cellular proliferation",58
"human","halide","cancer",58
"human","molecular entity","cell type cancer",58
"human","organic amino compound","disease of anatomical entity",58
"rat","polyatomic entity","disease",57
"human","organohalogen compound","disease of cellular proliferation",57
"human","organohalogen compound","cancer",57
"human","homocyclic compound","disease",57
"human","carbocyclic compound","disease",57
"human","heteroarene","disease of anatomical entity",56
"rat","heteroorganic entity","disease",56
"mouse","carbonyl compound","disease",55
"mouse","organic oxo compound","disease",55
"human","primary amide","organ system cancer",55
"human","carboxamide","disease of cellular proliferation",55
"rat","chalcogen molecular entity","disease",55
"human","main group molecular entity","cell type cancer",55
"human","p-block molecular entity","cell type cancer",55
"mouse","organic heterocyclic compound","disease of anatomical entity",54
"mouse","aromatic compound","disease",54
"mouse","organic aromatic compound","disease",54
"mouse","heterocyclic compound","disease of anatomical entity",54
"human","carboxamide","cancer",54
"human","halogen molecular entity","disease of anatomical entity",54
"human","halide","disease of anatomical entity",54
"human","carbon group molecular entity","cell type cancer",54
"human","organic molecular entity","cell type cancer",54
"human","organic hydroxy compound","disease of cellular proliferation",54
"human","organic hydroxy compound","cancer",54
"mouse","chemical entity","nervous system disease",53
"human","chemical entity","hematopoietic system disease",53
"human","carboxamide","disease of anatomical entity",53
"human","organohalogen compound","disease of anatomical entity",53
"human","polyatomic entity","cell type cancer",53
"human","ketone","disease",53
"human","organic amino compound","organ system cancer",53
"mouse","chemical entity","disease of cellular proliferation",52
"human","chemical entity","hematologic cancer",52
"human","heteroarene","disease of cellular proliferation",52
"human","heteroarene","cancer",52
"human","organic hydroxy compound","organ system cancer",52
"mouse","molecular entity","disease of cellular proliferation",51
"mouse","chemical entity","cancer",51
"mouse","main group molecular entity","disease of cellular proliferation",51
"mouse","p-block molecular entity","disease of cellular proliferation",51
"mouse","molecular entity","nervous system disease",51
"mouse","main group molecular entity","nervous system disease",51
"mouse","carbon group molecular entity","nervous system disease",51
"mouse","p-block molecular entity","nervous system disease",51
"mouse","organic molecular entity","nervous system disease",51
"human","molecular entity","hematopoietic system disease",51
"human","main group molecular entity","hematopoietic system disease",51
"human","bicyclic compound","disease",51
"human","heteropolycyclic compound","disease of cellular proliferation",51
"human","heteropolycyclic compound","cancer",51
"human","p-block molecular entity","hematopoietic system disease",51
"human","organic heteropolycyclic compound","disease of cellular proliferation",51
"human","organic heteropolycyclic compound","cancer",51
"rat","oxygen molecular entity","disease",51
"rat","organochalcogen compound","disease",51
"human","fluorine molecular entity","disease",51
"human","organofluorine compound","disease",51
"mouse","molecular entity","cancer",50
"mouse","main group molecular entity","cancer",50
"mouse","p-block molecular entity","cancer",50
"human","molecular entity","hematologic cancer",50
"human","main group molecular entity","hematologic cancer",50
"human","carbon group molecular entity","hematopoietic system disease",50
"human","heteropolycyclic compound","disease of anatomical entity",50
"human","p-block molecular entity","hematologic cancer",50
"human","organic heteropolycyclic compound","disease of anatomical entity",50
"human","organic molecular entity","hematopoietic system disease",50
"human","oxacycle","disease",50
"human","carbohydrates and carbohydrate derivatives","disease of anatomical entity",50
"human","homocyclic compound","disease of cellular proliferation",50
"human","homocyclic compound","cancer",50
"human","carbocyclic compound","disease of cellular proliferation",50
"human","carbocyclic compound","cancer",50
"mouse","organonitrogen heterocyclic compound","disease of anatomical entity",49
"human","carbon group molecular entity","hematologic cancer",49
"human","organic molecular entity","hematologic cancer",49
"rat","chemical entity","disease of anatomical entity",49
"human","glycosyl compound","disease",49
"human","halogen molecular entity","organ system cancer",49
"human","halide","organ system cancer",49
"human","organic polycyclic compound","disease of anatomical entity",49
"human","molecule","cell type cancer",49
"human","heteroorganic entity","cell type cancer",49
"human","organic molecule","cell type cancer",49
"human","heteroorganic entity","hematopoietic system disease",48
"human","carboxamide","organ system cancer",48
"rat","molecular entity","disease of anatomical entity",48
"rat","main group molecular entity","disease of anatomical entity",48
"rat","p-block molecular entity","disease of anatomical entity",48
"human","carbohydrate derivative","disease of anatomical entity",48
"human","organohalogen compound","organ system cancer",48
"human","chalcogen molecular entity","cell type cancer",48
"mouse","polycyclic compound","disease",47
"human","organic heterobicyclic compound","disease",47
"human","heteroorganic entity","hematologic cancer",47
"human","heteropolycyclic compound","organ system cancer",47
"human","heterobicyclic compound","disease",47
"human","organic heteropolycyclic compound","organ system cancer",47
"rat","carbon group molecular entity","disease of anatomical entity",47
"rat","organooxygen compound","disease",47
"rat","organic molecular entity","disease of anatomical entity",47
"rat","molecule","disease",47
"rat","organic molecule","disease",47
"human","oxygen molecular entity","cell type cancer",47
"human","lipid","disease of cellular proliferation",47
"human","lipid","cancer",47
"mouse","chemical entity","organ system cancer",46
"mouse","amide","disease",46
"mouse","chemical entity","central nervous system disease",46
"mouse","heteroorganic entity","nervous system disease",46
"human","heteroarene","organ system cancer",46
"human","polyatomic entity","hematopoietic system disease",46
"rat","pnictogen molecular entity","disease",46
"rat","nitrogen molecular entity","disease",46
"human","carbohydrates and carbohydrate derivatives","disease of cellular proliferation",46
"human","carbohydrates and carbohydrate derivatives","cancer",46
"human","molecular entity","thoracic disease",46
"human","molecular entity","breast cancer",46
"human","molecular entity","breast disease",46
"human","molecular entity","thoracic cancer",46
"human","chemical entity","thoracic disease",46
"human","chemical entity","breast cancer",46
"human","chemical entity","breast disease",46
"human","chemical entity","thoracic cancer",46
"human","main group molecular entity","thoracic disease",46
"human","main group molecular entity","breast cancer",46
"human","main group molecular entity","breast disease",46
"human","main group molecular entity","thoracic cancer",46
"human","carbon group molecular entity","thoracic disease",46
"human","carbon group molecular entity","breast cancer",46
"human","carbon group molecular entity","breast disease",46
"human","carbon group molecular entity","thoracic cancer",46
"human","p-block molecular entity","thoracic disease",46
"human","p-block molecular entity","breast cancer",46
"human","p-block molecular entity","breast disease",46
"human","p-block molecular entity","thoracic cancer",46
"human","organic molecular entity","thoracic disease",46
"human","organic molecular entity","breast cancer",46
"human","organic molecular entity","breast disease",46
"human","organic molecular entity","thoracic cancer",46
"human","organochalcogen compound","cell type cancer",46
"human","lipid","organ system cancer",46
"human","benzenoid aromatic compound","disease",46
"mouse","molecular entity","organ system cancer",45
"mouse","main group molecular entity","organ system cancer",45
"mouse","carbon group molecular entity","disease of cellular proliferation",45
"mouse","p-block molecular entity","organ system cancer",45
"mouse","organic molecular entity","disease of cellular proliferation",45
"mouse","polyatomic entity","nervous system disease",45
"human","molecule","hematopoietic system disease",45
"human","polyatomic entity","hematologic cancer",45
"human","organic molecule","hematopoietic system disease",45
"mouse","primary amide","disease",44
"mouse","carbon group molecular entity","cancer",44
"mouse","organic molecular entity","cancer",44
"mouse","molecular entity","central nervous system disease",44
"mouse","main group molecular entity","central nervous system disease",44
"mouse","carbon group molecular entity","central nervous system disease",44
"mouse","p-block molecular entity","central nervous system disease",44
"mouse","organic molecular entity","central nervous system disease",44
"human","molecule","hematologic cancer",44
"human","chalcogen molecular entity","hematologic cancer",44
"human","chalcogen molecular entity","hematopoietic system disease",44
"human","organochalcogen compound","hematologic cancer",44
"human","organochalcogen compound","hematopoietic system disease",44
"human","organic molecule","hematologic cancer",44
"human","carbohydrate derivative","disease of cellular proliferation",44
"human","carbohydrate derivative","cancer",44
"human","organooxygen compound","cell type cancer",44
"human","fluorine molecular entity","disease of cellular proliferation",44
"human","fluorine molecular entity","cancer",44
"human","organofluorine compound","disease of cellular proliferation",44
"human","organofluorine compound","cancer",44
"human","oxygen molecular entity","hematologic cancer",43
"human","oxygen molecular entity","hematopoietic system disease",43
"human","organooxygen compound","hematologic cancer",43
"human","organooxygen compound","hematopoietic system disease",43
"rat","polyatomic entity","disease of anatomical entity",43
"human","organic polycyclic compound","disease of cellular proliferation",43
"human","organic polycyclic compound","cancer",43
"human","ketone","disease of anatomical entity",43
"human","steroid","disease",43
"human","role","disease",43
"mouse","heteroorganic entity","disease of cellular proliferation",42
"mouse","s-block molecular entity","disease of anatomical entity",42
"mouse","organic heteromonocyclic compound","disease",42
"mouse","monocyclic compound","disease",42
"mouse","heteromonocyclic compound","disease",42
"rat","heteroatomic molecular entity","disease",42
"rat","heteroorganic entity","disease of anatomical entity",42
"human","oxacycle","disease of cellular proliferation",42
"human","oxacycle","cancer",42
"human","glycosyl compound","disease of cellular proliferation",42
"human","glycosyl compound","cancer",42
"human","molecule","thoracic disease",42
"human","molecule","breast cancer",42
"human","molecule","breast disease",42
"human","molecule","thoracic cancer",42
"human","polyatomic entity","thoracic disease",42
"human","polyatomic entity","breast cancer",42
"human","polyatomic entity","breast disease",42
"human","polyatomic entity","thoracic cancer",42
"human","organic molecule","thoracic disease",42
"human","organic molecule","breast cancer",42
"human","organic molecule","breast disease",42
"human","organic molecule","thoracic cancer",42
"human","cyclic compound","cell type cancer",42
"human","organic cyclic compound","cell type cancer",42
"human","homocyclic compound","disease of anatomical entity",42
"human","carbocyclic compound","disease of anatomical entity",42
"mouse","heteroorganic entity","cancer",41
"mouse","hydrogen molecular entity","disease of anatomical entity",41
"mouse","polyatomic entity","disease of cellular proliferation",41
"human","ester","disease",41
"human","carbohydrates and carbohydrate derivatives","organ system cancer",41
"human","organic polycyclic compound","organ system cancer",41
"human","olefinic compound","disease",41
"human","tertiary amino compound","disease",41
"mouse","polyatomic entity","cancer",40
"human","cyclic compound","hematopoietic system disease",40
"human","bicyclic compound","disease of cellular proliferation",40
"human","bicyclic compound","cancer",40
"human","bicyclic compound","disease of anatomical entity",40
"human","organic cyclic compound","hematopoietic system disease",40
"rat","chalcogen molecular entity","disease of anatomical entity",40
"rat","cyclic compound","disease",40
"rat","organic cyclic compound","disease",40
"human","oxacycle","disease of anatomical entity",40
"human","carbohydrate derivative","organ system cancer",40
"human","pnictogen molecular entity","cell type cancer",40
"human","homocyclic compound","organ system cancer",40
"human","carbocyclic compound","organ system cancer",40
"human","benzenoid aromatic compound","disease of cellular proliferation",40
"human","benzenoid aromatic compound","cancer",40
"human","fluorine molecular entity","disease of anatomical entity",40
"human","organofluorine compound","disease of anatomical entity",40
"mouse","carbon group molecular entity","organ system cancer",39
"mouse","aromatic compound","disease of anatomical entity",39
"mouse","organic aromatic compound","disease of anatomical entity",39
"mouse","organic molecular entity","organ system cancer",39
"mouse","oxygen molecular entity","nervous system disease",39
"mouse","heteroorganic entity","central nervous system disease",39
"mouse","chalcogen molecular entity","nervous system disease",39
"mouse","polyatomic entity","central nervous system disease",39
"human","cyclic compound","hematologic cancer",39
"human","organic cyclic compound","hematologic cancer",39
"human","oxacycle","organ system cancer",39
"human","glycosyl compound","disease of anatomical entity",39
"human","heteroorganic entity","thoracic disease",39
"human","heteroorganic entity","breast cancer",39
"human","heteroorganic entity","breast disease",39
"human","heteroorganic entity","thoracic cancer",39
"human","cyclic compound","thoracic disease",39
"human","cyclic compound","breast cancer",39
"human","cyclic compound","breast disease",39
"human","cyclic compound","thoracic cancer",39
"human","organic cyclic compound","thoracic disease",39
"human","organic cyclic compound","breast cancer",39
"human","organic cyclic compound","breast disease",39
"human","organic cyclic compound","thoracic cancer",39
"human","organonitrogen compound","cell type cancer",39
"human","nitrogen molecular entity","cell type cancer",39
"human","ketone","disease of cellular proliferation",39
"human","ketone","cancer",39
"human","cyclic ketone","disease",39
"human","steroid","disease of anatomical entity",39
"human","hydroxy steroid","disease",39
"human","fluorine molecular entity","organ system cancer",39
"human","organofluorine compound","organ system cancer",39
"mouse","carbonyl compound","disease of anatomical entity",38
"mouse","organic oxo compound","disease of anatomical entity",38
"mouse","carboxamide","disease",38
"mouse","organochalcogen compound","nervous system disease",38
"mouse","organooxygen compound","nervous system disease",38
"mouse","organic amino compound","disease",38
"mouse","carbohydrates and carbohydrate derivatives","disease",38
"mouse","organic hydroxy compound","disease",38
"human","organic heterobicyclic compound","disease of anatomical entity",38
"human","heterobicyclic compound","disease of anatomical entity",38
"rat","organochalcogen compound","disease of anatomical entity",38
"human","N-glycosyl compound","disease",38
"human","glycosyl compound","organ system cancer",38
"human","heteroatomic molecular entity","cell type cancer",38
"human","tertiary amino compound","disease of anatomical entity",38
"mouse","hydroxides","disease of anatomical entity",37
"human","organic heterobicyclic compound","disease of cellular proliferation",37
"human","organic heterobicyclic compound","cancer",37
"human","heterobicyclic compound","disease of cellular proliferation",37
"human","heterobicyclic compound","cancer",37
"human","alcohol","disease",37
"mouse","heteroorganic entity","organ system cancer",36
"mouse","heteropolycyclic compound","disease",36
"mouse","organic heteropolycyclic compound","disease",36
"mouse","molecule","nervous system disease",36
"mouse","organic molecule","nervous system disease",36
"mouse","carbohydrate derivative","disease",36
"human","ester","disease of anatomical entity",36
"human","oxoacid","disease",36
"human","carboxylic acid","disease",36
"human","carbon oxoacid","disease",36
"human","organic acid","disease",36
"rat","oxygen molecular entity","disease of anatomical entity",36
"rat","organonitrogen compound","disease",36
"rat","molecule","disease of anatomical entity",36
"rat","organic molecule","disease of anatomical entity",36
"human","benzenes","disease",36
"human","hydroxy steroid","disease of anatomical entity",36
"human","tertiary amino compound","organ system cancer",36
"human","tertiary amino compound","disease of cellular proliferation",36
"human","tertiary amino compound","cancer",36
"human","biological role","disease",36
"mouse","chalcogen molecular entity","disease of cellular proliferation",35
"mouse","polycyclic compound","disease of anatomical entity",35
"mouse","polyatomic entity","organ system cancer",35
"human","carboxylic ester","disease",35
"human","bicyclic compound","organ system cancer",35
"rat","pnictogen molecular entity","disease of anatomical entity",35
"rat","nitrogen molecular entity","disease of anatomical entity",35
"human","oxygen molecular entity","thoracic disease",35
"human","oxygen molecular entity","breast cancer",35
"human","oxygen molecular entity","breast disease",35
"human","oxygen molecular entity","thoracic cancer",35
"human","chalcogen molecular entity","thoracic disease",35
"human","chalcogen molecular entity","breast cancer",35
"human","chalcogen molecular entity","breast disease",35
"human","chalcogen molecular entity","thoracic cancer",35
"human","sulfur molecular entity","disease",35
"mouse","molecule","disease of cellular proliferation",34
"mouse","oxygen molecular entity","disease of cellular proliferation",34
"mouse","pnictogen molecular entity","disease of cellular proliferation",34
"mouse","pnictogen molecular entity","cancer",34
"mouse","chalcogen molecular entity","cancer",34
"mouse","organochalcogen compound","disease of cellular proliferation",34
"mouse","nitrogen molecular entity","disease of cellular proliferation",34
"mouse","nitrogen molecular entity","cancer",34
"mouse","organic molecule","disease of cellular proliferation",34
"mouse","organic heteromonocyclic compound","disease of anatomical entity",34
"mouse","monocyclic compound","disease of anatomical entity",34
"mouse","heteromonocyclic compound","disease of anatomical entity",34
"rat","organooxygen compound","disease of anatomical entity",34
"human","ketone","organ system cancer",34
"human","benzenoid aromatic compound","disease of anatomical entity",34
"human","cyclic ketone","disease of anatomical entity",34
"human","organosulfur compound","disease",34
"human","17-hydroxy steroid","disease",34
"human","role","disease of anatomical entity",34
"mouse","molecule","cancer",33
"mouse","oxygen molecular entity","cancer",33
"mouse","amide","disease of anatomical entity",33
"mouse","organochalcogen compound","cancer",33
"mouse","organooxygen compound","disease of cellular proliferation",33
"mouse","organic molecule","cancer",33
"mouse","chemical entity","neurodegenerative disease",33
"human","molecular entity","nervous system disease",33
"human","chemical entity","nervous system disease",33
"human","main group molecular entity","nervous system disease",33
"human","p-block molecular entity","nervous system disease",33
"human","chemical entity","leukemia",33
"human","organic heterobicyclic compound","organ system cancer",33
"human","pnictogen molecular entity","hematopoietic system disease",33
"human","heterobicyclic compound","organ system cancer",33
"rat","heteroatomic molecular entity","disease of anatomical entity",33
"rat","cyclic compound","disease of anatomical entity",33
"rat","organic cyclic compound","disease of anatomical entity",33
"human","organic heterocyclic compound","cell type cancer",33
"human","heterocyclic compound","cell type cancer",33
"human","olefinic compound","disease of anatomical entity",33
"human","benzenoid aromatic compound","organ system cancer",33
"mouse","organooxygen compound","cancer",32
"mouse","molecular entity","neurodegenerative disease",32
"mouse","oxygen molecular entity","central nervous system disease",32
"mouse","chalcogen molecular entity","central nervous system disease",32
"mouse","main group molecular entity","neurodegenerative disease",32
"mouse","carbon group molecular entity","neurodegenerative disease",32
"mouse","p-block molecular entity","neurodegenerative disease",32
"mouse","organic molecular entity","neurodegenerative disease",32
"human","carbon group molecular entity","nervous system disease",32
"human","organic molecular entity","nervous system disease",32
"human","pnictogen molecular entity","hematologic cancer",32
"human","organonitrogen compound","hematopoietic system disease",32
"human","nitrogen molecular entity","hematopoietic system disease",32
"human","chlorine molecular entity","disease",32
"mouse","primary amide","disease of anatomical entity",31
"mouse","pnictogen molecular entity","organ system cancer",31
"mouse","cyclic compound","disease of cellular proliferation",31
"mouse","organic cyclic compound","disease of cellular proliferation",31
"mouse","heteroatomic molecular entity","disease of cellular proliferation",31
"mouse","nitrogen molecular entity","organ system cancer",31
"mouse","organic acid","disease",31
"mouse","organochalcogen compound","central nervous system disease",31
"mouse","organooxygen compound","central nervous system disease",31
"human","heteroorganic entity","nervous system disease",31
"human","molecular entity","leukemia",31
"human","main group molecular entity","leukemia",31
"human","carbon group molecular entity","leukemia",31
"human","p-block molecular entity","leukemia",31
"human","organonitrogen compound","hematologic cancer",31
"human","organic molecular entity","leukemia",31
"human","nitrogen molecular entity","hematologic cancer",31
"rat","s-block molecular entity","disease",31
"human","N-glycosyl compound","disease of cellular proliferation",31
"human","N-glycosyl compound","cancer",31
"human","17-hydroxy steroid","disease of anatomical entity",31
"human","chemical entity","carcinoma",31
"human","biological role","disease of anatomical entity",31
"mouse","chalcogen molecular entity","organ system cancer",30
"mouse","cyclic compound","cancer",30
"mouse","organic cyclic compound","cancer",30
"mouse","heteroatomic molecular entity","cancer",30
"mouse","molecule","central nervous system disease",30
