"ee.Taxon","N","Definition"
"human",727,"ectoderm-derived structure"
"rat",723,"organ"
"mouse",680,"endoderm-derived structure"
"mouse",679,"immune system"
"human",679,"hematopoietic cell"
"human",656,"motile cell"
"mouse",650,"digestive system"
"mouse",637,"digestive system element"
"human",624,"subdivision of organism along main body axis"
"human",624,"main body axis"
"human",624,"body proper"
"human",624,"organism substance"
"mouse",617,"abdominal segment of trunk"
"human",612,"leukocyte"
"human",610,"bodily fluid"
"mouse",606,"compound organ"
"human",600,"haemolymphatic fluid"
"mouse",599,"abdomen"
"human",599,"blood"
"mouse",596,"abdominal segment element"
"mouse",595,"abdomen element"
"human",594,"nervous system"
"mouse",581,"hematopoietic cell"
"rat",577,"organ system subdivision"
"mouse",574,"connected anatomical structure"
"human",572,"lateral structure"
"mouse",528,"gland"
"human",526,"trunk"
"mouse",516,"anatomical conduit"
"mouse",515,"motile cell"
"mouse",514,"neural cell"
"rat",512,"ectoderm-derived structure"
"human",510,"nucleate cell"
"rat",504,"nervous system"
"human",497,"anatomical conduit"
"human",496,"nongranular leukocyte"
"mouse",493,"leukocyte"
"human",491,"subdivision of trunk"
"human",485,"central nervous system"
"mouse",482,"tube"
"rat",480,"structure with developmental contribution from neural crest"
"mouse",478,"hemolymphoid system"
"mouse",470,"endocrine system"
"mouse",464,"hematopoietic system"
"mouse",460,"lobe of cerebral hemisphere"
"mouse",453,"endocrine gland"
"mouse",447,"limbic system"
"human",446,"structure with developmental contribution from neural crest"
"human",441,"tube"
"mouse",441,"precursor cell"
"rat",437,"central nervous system"
"mouse",433,"exocrine system"
"mouse",433,"exocrine gland"
"rat",432,"organ part"
"mouse",423,"organ subunit"
"human",421,"connected anatomical structure"
"human",417,"subdivision of tube"
"human",416,"anatomical cluster"
"mouse",407,"subdivision of tube"
"human",402,"trunk region element"
"rat",394,"multi-tissue structure"
"human",394,"multi-tissue structure"
"rat",383,"brain"
"rat",382,"anatomical cluster"
"mouse",380,"musculoskeletal system"
"mouse",378,"hepatobiliary system"
"human",377,"precursor cell"
"mouse",376,"liver"
"mouse",376,"digestive system gland"
"mouse",375,"thoracic segment of trunk"
"human",367,"endoderm-derived structure"
"mouse",365,"stem cell"
"rat",365,"lateral structure"
"human",364,"brain"
"mouse",363,"hippocampal formation"
"mouse",363,"thoracic segment organ"
"rat",361,"regional part of nervous system"
"human",356,"compound organ"
"mouse",355,"thoracic cavity element"
"rat",350,"regional part of brain"
"mouse",339,"nuclear complex of neuraxis"
"rat",330,"multi cell part structure"
"human",328,"epithelium"
"mouse",326,"anterior region of body"
"mouse",324,"electrically active cell"
"mouse",324,"electrically responsive cell"
"rat",319,"central nervous system cell part cluster"
"rat",318,"forebrain"
"rat",317,"gray matter"
"rat",312,"brain gray matter"
"mouse",304,"limbic lobe"
"human",300,"musculoskeletal system"
"human",298,"thoracic segment of trunk"
"rat",298,"gray matter of forebrain"
"mouse",296,"electrically signaling cell"
"mouse",296,"neuron"
"human",290,"connective tissue"
"mouse",288,"Ammon's horn"
"human",287,"stem cell"
"mouse",286,"myeloid cell"
"human",282,"digestive system"
"mouse",271,"embryo"
"mouse",271,"respiratory system"
"human",267,"regional part of nervous system"
"rat",266,"organism subdivision"
"mouse",266,"anatomical wall"
"mouse",266,"epithelium"
"mouse",266,"immune organ"
"rat",264,"telencephalon"
"mouse",262,"respiratory tract"
"mouse",262,"respiratory airway"
"human",261,"single nucleate cell"
"human",261,"mononuclear cell"
"mouse",260,"proximo-distal subdivision of respiratory tract"
"mouse",260,"viscus"
"human",260,"lymphocyte"
"human",259,"regional part of brain"
"mouse",259,"craniocervical region"
"mouse",259,"nucleate cell"
"mouse",258,"head"
"human",257,"anatomical wall"
"mouse",256,"connective tissue"
"rat",255,"gray matter of telencephalon"
"mouse",252,"hemopoietic organ"
"mouse",251,"anatomical collection"
"human",249,"digestive system element"
"rat",247,"cerebral hemisphere"
"mouse",246,"organ component layer"
"mouse",245,"nongranular leukocyte"
"mouse",245,"skeletal system"
"mouse",242,"sensory system"
"mouse",242,"entire sense organ system"
"mouse",242,"myeloid leukocyte"
"mouse",241,"stuff accumulating cell"
"human",239,"multi cell part structure"
"mouse",238,"skeletal element"
"human",237,"epithelial cell"
"mouse",234,"lower respiratory tract"
"mouse",234,"bone element"
"human",233,"connective tissue cell"
"rat",232,"cerebral hemisphere gray matter"
"human",232,"gland"
"mouse",230,"sense organ"
"mouse",230,"pair of lungs"
"mouse",230,"respiration organ"
"mouse",230,"lung"
"mouse",229,"lymphocyte"
"mouse",228,"neuron associated cell"
"human",226,"organ component layer"
"mouse",225,"occurrent"
"human",224,"abdominal segment of trunk"
"mouse",223,"cerebral subcortex"
"human",223,"central nervous system cell part cluster"
"mouse",222,"cavitated compound organ"
"mouse",221,"aggregate regional part of brain"
"mouse",221,"collection of basal ganglia"
"mouse",221,"disconnected anatomical group"
"mouse",221,"circulatory system"
"mouse",221,"defensive cell"
"mouse",220,"basal ganglion"
"mouse",220,"phagocyte"
"rat",219,"pallium"
"rat",219,"cerebral cortex"
"rat",219,"central nervous system gray matter layer"
"rat",219,"nervous system cell part layer"
"mouse",219,"macrophage"
"human",217,"respiratory system"
"mouse",217,"glial cell"
"rat",216,"subdivision of organism along main body axis"
"rat",216,"main body axis"
"rat",216,"body proper"
"human",215,"gray matter"
"mouse",214,"processual entity"
"mouse",214,"life cycle"
"mouse",214,"life cycle stage"
"human",211,"abdomen"
"human",210,"forebrain"
"human",210,"brain gray matter"
"mouse",210,"cardiovascular system"
"mouse",209,"abdominal viscera"
"human",208,"integumental system"
"human",207,"respiratory tract"
"human",207,"respiratory airway"
"mouse",207,"spleen"
"mouse",206,"glial cell (sensu Vertebrata)"
"mouse",206,"bone marrow"
"mouse",205,"hindbrain"
"human",203,"proximo-distal subdivision of respiratory tract"
"human",202,"abdominal segment element"
"mouse",198,"subdivision of head"
"mouse",197,"segmental subdivision of nervous system"
"human",197,"telencephalon"
"mouse",197,"face"
"human",197,"abdomen element"
"mouse",195,"segmental subdivision of hindbrain"
"human",195,"cerebral hemisphere"
"human",192,"thoracic segment organ"
"human",191,"thoracic cavity element"
"human",189,"skeletal system"
"human",187,"gray matter of forebrain"
"human",187,"digestive tract"
"mouse",185,"metencephalon"
"human",185,"subdivision of digestive tract"
"human",184,"reproductive system"
"human",184,"reproductive structure"
"human",182,"lower respiratory tract"
"mouse",180,"tissue-resident macrophage"
"human",179,"gray matter of telencephalon"
"human",179,"nervous system cell part layer"
"human",179,"neural cell"
"mouse",178,"cerebellum"
"human",178,"skeletal element"
"rat",177,"trunk"
"mouse",176,"corpus striatum"
"mouse",176,"visual system"
"mouse",174,"basal forebrain"
"mouse",173,"eye"
"rat",173,"subdivision of trunk"
"human",171,"cerebral hemisphere gray matter"
"mouse",171,"neocortex"
"human",171,"circulating cell"
"mouse",170,"post-embryonic stage"
"mouse",170,"ventral part of telencephalon"
"human",170,"bone element"
"mouse",169,"striatum"
"mouse",169,"basal nuclear complex"
"mouse",169,"camera-type eye"
"mouse",169,"simple eye"
"mouse",169,"orbital region"
"human",168,"peripheral blood mononuclear cell"
"human",167,"pallium"
"human",167,"cerebral cortex"
"human",167,"central nervous system gray matter layer"
"human",167,"integument"
"mouse",166,"primary circulatory organ"
"mouse",166,"circulatory organ"
"human",164,"anatomical collection"
"mouse",164,"connective tissue cell"
"rat",163,"trunk region element"
"rat",162,"limbic system"
"mouse",162,"embryonic cell"
"human",162,"myeloid cell"
"mouse",160,"fully formed stage"
"mouse",160,"multi fate stem cell"
"mouse",158,"diencephalon"
"rat",157,"cell"
"rat",156,"native cell"
"human",156,"fibroblast"
"mouse",155,"heart"
"mouse",155,"heart plus pericardium"
"human",154,"multi fate stem cell"
"human",153,"endocrine system"
"human",151,"exocrine system"
"human",151,"exocrine gland"
"mouse",150,"eyeball of camera-type eye"
"rat",149,"somatic cell"
"rat",149,"lobe of cerebral hemisphere"
"human",149,"bone marrow"
"rat",148,"eukaryotic cell"
"rat",148,"animal cell"
"mouse",147,"reproductive system"
"human",147,"endocrine gland"
"rat",146,"hippocampal formation"
"mouse",146,"reproductive structure"
"mouse",146,"central nervous system neuron"
"mouse",145,"muscle structure"
"mouse",144,"musculature of body"
"mouse",143,"digestive tract"
"mouse",142,"subdivision of digestive tract"
"mouse",142,"epithelial cell"
"human",141,"pair of lungs"
"human",141,"respiration organ"
"human",141,"lung"
"mouse",141,"embryonic stem cell"
"human",141,"alimentary part of gastrointestinal system"
"mouse",140,"musculature"
"human",138,"external soft tissue zone"
"human",137,"organ subunit"
"human",136,"skin of body"
"mouse",136,"photoreceptor array"
"mouse",135,"thalamic complex"
"mouse",135,"gray matter of diencephalon"
"human",135,"T cell"
"mouse",134,"T cell"
"mouse",134,"muscle organ"
"mouse",134,"retina"
"mouse",134,"posterior segment of eyeball"
"mouse",134,"chorioretinal region"
"mouse",133,"dorsum"
"mouse",133,"cortex of cerebral lobe"
"rat",133,"compound organ"
"human",133,"myeloid leukocyte"
"human",132,"circulatory system"
"mouse",131,"skeletal muscle organ"
"mouse",131,"skeletal musculature"
"human",128,"anterior region of body"
"mouse",127,"sexually immature stage"
"mouse",127,"spinal cord"
"mouse",127,"integumental system"
"mouse",127,"dorsal region element"
"human",127,"cardiovascular system"
"human",126,"lobe of cerebral hemisphere"
"human",125,"reproductive organ"
"mouse",125,"fibroblast"
"mouse",124,"alimentary part of gastrointestinal system"
"rat",123,"nuclear complex of neuraxis"
"human",123,"unilaminar epithelium"
"mouse",122,"frontal lobe"
"mouse",120,"neuronal stem cell"
"mouse",119,"microglial cell"
"mouse",119,"central nervous system macrophage"
"mouse",118,"developing anatomical structure"
"human",118,"electrically active cell"
"human",118,"electrically responsive cell"
"mouse",117,"reproductive organ"
"human",117,"musculature of body"
"mouse",117,"frontal cortex"
"human",116,"intestine"
"mouse",115,"neural nucleus"
"mouse",115,"nucleus of brain"
"rat",115,"abdominal segment of trunk"
"mouse",114,"intestine"
"human",114,"cavitated compound organ"
"human",113,"breast"
"human",113,"chest"
"rat",113,"endoderm-derived structure"
"mouse",112,"hypothalamus"
"mouse",111,"cell cluster"
"rat",111,"gland"
"mouse",111,"CNS neuron (sensu Vertebrata)"
"rat",111,"digestive system"
"human",110,"musculature"
"human",110,"hepatobiliary system"
"rat",110,"digestive system element"
"human",109,"stuff accumulating cell"
"mouse",108,"neural crest-derived structure"
"human",108,"head"
"human",108,"craniocervical region"
"human",108,"female reproductive system"
"human",108,"female organism"
"rat",108,"abdomen"
"human",108,"liver"
"human",108,"digestive system gland"
"mouse",107,"appendage girdle complex"
"rat",107,"connected anatomical structure"
"rat",107,"abdomen element"
"rat",107,"abdominal segment element"
"human",106,"muscle structure"
"mouse",105,"hematopoietic precursor cell"
"human",105,"muscle organ"
"mouse",104,"appendage"
"mouse",104,"limb"
"mouse",104,"paired limb/fin"
"mouse",103,"renal system"
"human",103,"skeletal muscle organ"
"human",103,"skeletal musculature"
"human",102,"large intestine"
"human",102,"lower digestive tract"
"rat",101,"endocrine system"
"mouse",101,"embryonic structure"
"rat",101,"mesoderm-derived structure"
"human",101,"mucosa"
"human",100,"neocortex"
"rat",99,"endocrine gland"
"human",99,"lymphocyte of B lineage"
"human",99,"neuronal stem cell"
"rat",98,"limbic lobe"
"mouse",98,"upper urinary tract"
"mouse",98,"posterior region of body"
"human",98,"renal system"
"mouse",98,"bone cell"
"rat",97,"neural cell"
"mouse",97,"kidney"
"rat",97,"tissue"
"rat",96,"Ammon's horn"
"mouse",96,"unilaminar epithelium"
"mouse",96,"lymphocyte of B lineage"
"mouse",95,"B cell"
"mouse",95,"bone marrow cell"
"mouse",94,"male reproductive system"
"mouse",94,"male organism"
"mouse",94,"dense connective tissue"
"mouse",94,"hindlimb"
"mouse",94,"pelvic appendage"
"mouse",94,"pelvic complex"
"human",94,"electrically signaling cell"
"human",94,"neuron"
"mouse",93,"adipose tissue"
"mouse",93,"irregular connective tissue"
"mouse",93,"dense irregular connective tissue"
"human",93,"occurrent"
"human",91,"embryonic cell"
"mouse",90,"mature T cell"
"human",89,"colon"
"rat",89,"exocrine system"
"rat",89,"exocrine gland"
"mouse",88,"ecto-epithelium"
"human",88,"appendage girdle complex"
"human",87,"cortex of cerebral lobe"
"human",87,"male reproductive system"
"human",87,"male organism"
"mouse",86,"somatic stem cell"
"human",86,"mature T cell"
"human",85,"appendage"
"human",85,"limb"
"human",85,"paired limb/fin"
"human",85,"upper urinary tract"
"human",85,"B cell"
"mouse",85,"heterogeneous tissue"
"mouse",85,"lymphomyeloid tissue"
"mouse",84,"ganglion"
"mouse",84,"cell cluster organ"
"human",84,"vasculature"
"human",84,"vascular system"
"human",84,"kidney"
"rat",84,"anatomical conduit"
"mouse",83,"alpha-beta T cell"
"mouse",83,"mixed endoderm/mesoderm-derived structure"
"mouse",82,"macroglial cell"
"human",81,"frontal lobe"
"mouse",81,"gonad"
"human",81,"embryo"
"rat",81,"hepatobiliary system"
"mouse",80,"male reproductive organ"
"mouse",80,"peripheral nervous system"
"human",80,"pelvic complex"
"rat",80,"liver"
"rat",80,"digestive system gland"
"human",80,"embryonic stem cell"
"mouse",79,"embryonic fibroblast"
"mouse",78,"muscle tissue"
"mouse",78,"limb muscle"
"mouse",78,"musculature of limb"
"mouse",78,"appendage musculature"
"mouse",78,"bone marrow hematopoietic cell"
"mouse",78,"hematopoietic tissue"
"human",78,"alpha-beta T cell"
"human",77,"sensory system"
"human",77,"entire sense organ system"
"mouse",77,"hindlimb muscle"
"mouse",77,"musculature of lower limb"
"mouse",77,"pelvic appendage musculature"
"mouse",77,"pelvic complex muscle"
"mouse",77,"musculature of pelvic complex"
"mouse",77,"pelvic appendage muscle"
"human",77,"posterior region of body"
"human",77,"hindlimb"
"human",77,"pelvic appendage"
"human",76,"frontal cortex"
"mouse",76,"mature alpha-beta T cell"
"human",76,"vessel"
"mouse",76,"limb segment"
"mouse",76,"paired limb/fin segment"
"mouse",76,"subdivision of organism along appendicular axis"
"mouse",76,"midbrain"
"human",76,"processual entity"
"human",76,"life cycle"
"human",76,"life cycle stage"
"mouse",76,"secretory cell"
"mouse",75,"striated muscle tissue"
"human",75,"sense organ"
"human",75,"mature alpha-beta T cell"
"mouse",73,"astrocyte"
"human",73,"meso-epithelial cell"
"human",73,"blood vessel"
"human",73,"blood vasculature"
"human",72,"simple columnar epithelium"
"human",72,"columnar epithelium"
"mouse",72,"multi-limb segment region"
"mouse",71,"skeletal muscle tissue"
"human",71,"subdivision of head"
"human",71,"face"
"human",71,"endo-epithelium"
"mouse",71,"lower limb segment"
"mouse",70,"leg"
"rat",70,"cavitated compound organ"
"rat",70,"tube"
"rat",69,"electrically active cell"
"rat",69,"electrically responsive cell"
"mouse",69,"sensory ganglion"
"rat",69,"cerebral subcortex"
"rat",69,"basal ganglion"
"rat",69,"aggregate regional part of brain"
"rat",69,"collection of basal ganglia"
"rat",69,"disconnected anatomical group"
"mouse",69,"integument"
"mouse",69,"prefrontal cortex"
"human",69,"CD4-positive, alpha-beta T cell"
"mouse",67,"thymus"
"mouse",67,"hemolymphoid system gland"
"human",67,"barrier cell"
"human",67,"mixed endoderm/mesoderm-derived structure"
"human",67,"neuron associated cell"
"mouse",67,"brainstem"
"human",66,"lining cell"
"human",66,"limb muscle"
"human",66,"musculature of limb"
"human",66,"appendage musculature"
"mouse",66,"neuron of the forebrain"
"human",65,"hindbrain"
"human",65,"glial cell"
"human",65,"somatic stem cell"
"human",65,"squamous epithelial cell"
"human",64,"segmental subdivision of nervous system"
"human",64,"segmental subdivision of hindbrain"
"human",64,"endothelial cell"
"human",64,"respiratory system epithelium"
"human",64,"viscus"
"rat",64,"thoracic segment of trunk"
"human",64,"meso-epithelium"
"human",64,"ecto-epithelium"
"human",63,"metencephalon"
"mouse",63,"dorsal root ganglion"
"mouse",63,"large intestine"
"mouse",63,"lower digestive tract"
"human",63,"respiratory tract epithelium"
"human",63,"ciliated columnar epithelium"
"human",63,"ciliated epithelium"
"human",63,"pseudostratified columnar epithelium"
"human",63,"pseudostratified ciliated columnar epithelium"
"human",63,"nuclear complex of neuraxis"
"human",63,"hematopoietic precursor cell"
"human",63,"monocyte"
"mouse",63,"neuron of cerebral cortex"
"mouse",63,"cerebral cortex neuron"
"rat",62,"electrically signaling cell"
"rat",62,"neuron"
"mouse",62,"neonate stage"
"human",62,"gonad"
"human",62,"glial cell (sensu Vertebrata)"
"human",62,"squamous epithelium"
"human",61,"cerebellum"
"mouse",61,"simple columnar epithelium"
"mouse",61,"small intestine"
"mouse",61,"columnar epithelium"
"human",61,"pelvic complex muscle"
"human",61,"musculature of pelvic complex"
"rat",60,"diencephalon"
"mouse",60,"hematopoietic stem cell"
"mouse",60,"telencephalic nucleus"
"mouse",60,"vasculature"
"mouse",60,"vascular system"
"human",60,"immune organ"
"human",60,"hindlimb muscle"
"human",60,"musculature of lower limb"
"human",60,"pelvic appendage musculature"
"human",60,"pelvic appendage muscle"
"rat",60,"subdivision of tube"
"rat",59,"organ subunit"
"mouse",59,"skin of body"
"human",59,"primary circulatory organ"
"human",59,"circulatory organ"
"mouse",58,"mucosa"
"mouse",58,"female reproductive system"
"mouse",58,"female organism"
"human",58,"oviduct"
"human",58,"internal genitalia"
"human",58,"subdivision of oviduct"
"rat",58,"thoracic segment organ"
"human",58,"quadriceps femoris"
"human",58,"defensive cell"
"mouse",57,"muscle of leg"
"mouse",57,"zeugopod"
"mouse",57,"hindlimb zeugopod"
"mouse",57,"musculature of leg"
"human",57,"lymphoid system"
"human",57,"phagocyte"
"human",57,"irregular connective tissue"
"human",57,"blood cell"
"mouse",56,"testis"
"mouse",56,"gland of integumental system"
"mouse",56,"exocrine gland of integumental system"
"human",56,"visual system"
"human",56,"post-embryonic stage"
"mouse",55,"colon"
"human",55,"eye"
"mouse",55,"hindlimb zeugopod muscle"
"mouse",55,"musculature of hindlimb zeugopod"
"rat",55,"thoracic cavity element"
"human",55,"fully formed stage"
"mouse",54,"mammary gland"
"human",54,"heart"
"human",54,"heart plus pericardium"
"human",54,"conceptus"
"human",54,"aggregate regional part of brain"
"human",54,"disconnected anatomical group"
"human",54,"dense connective tissue"
"mouse",53,"temporal lobe"
"mouse",53,"non-terminally differentiated cell"
"rat",53,"thalamic complex"
"rat",53,"gray matter of diencephalon"
"mouse",53,"CD4-positive, alpha-beta T cell"
"human",53,"camera-type eye"
"human",53,"simple eye"
"human",53,"orbital region"
"human",53,"uterus"
"human",53,"developing anatomical structure"
"rat",53,"circulatory system"
"mouse",53,"neuron projection bundle"
"human",53,"cerebral subcortex"
"human",53,"basal ganglion"
"human",53,"collection of basal ganglia"
"human",53,"adipose tissue"
"human",53,"dense irregular connective tissue"
"rat",52,"cardiovascular system"
"human",52,"macrophage"
"rat",51,"neural nucleus"
"rat",51,"nucleus of brain"
"mouse",51,"pancreas"
"human",51,"entire extraembryonic component"
"human",51,"limbic system"
"human",51,"prostate gland"
"human",51,"reproductive gland"
"human",51,"male reproductive gland"
"human",51,"male accessory sex gland"
"mouse",51,"efferent neuron"
"rat",51,"occurrent"
"rat",51,"musculoskeletal system"
"human",51,"simple squamous epithelium"
"human",50,"respiratory tube"
"human",50,"muscle tissue"
"mouse",50,"bone marrow macrophage"
"rat",49,"anatomical wall"
"rat",49,"anterior region of body"
"human",49,"late embryo"
"mouse",49,"epithelial tube"
"human",48,"endo-epithelial cell"
"rat",48,"neocortex"
"mouse",48,"epithelium of mucosa"
"human",48,"female reproductive organ"
"human",48,"temporal lobe"
"mouse",47,"amygdala"
"mouse",47,"post-juvenile adult stage"
"mouse",47,"duct"
"human",47,"lower respiratory tract epithelium"
"human",47,"tracheobronchial tree"
"human",47,"vastus lateralis"
"human",47,"neural nucleus"
"human",47,"nucleus of brain"
"rat",47,"processual entity"
"rat",47,"life cycle"
"rat",47,"life cycle stage"
"mouse",47,"dendritic cell"
"mouse",47,"embryo stage"
"rat",46,"cortex of cerebral lobe"
"human",46,"striated muscle tissue"
"human",46,"neural crest-derived structure"
"rat",45,"head"
"rat",45,"craniocervical region"
"mouse",45,"ventral striatum"
"human",45,"skeletal muscle tissue"
"rat",45,"corpus striatum"
"human",45,"endothelium"
"human",45,"secretory cell"
"mouse",44,"nucleus accumbens"
"mouse",44,"internal genitalia"
"rat",44,"hypothalamus"
"rat",44,"basal forebrain"
"human",44,"non-terminally differentiated cell"
"rat",43,"organ component layer"
"mouse",43,"organism substance"
"mouse",43,"cardiac chamber"
"mouse",43,"bodily fluid"
"human",43,"eyeball of camera-type eye"
"human",43,"male reproductive organ"
"rat",43,"neural crest-derived structure"
"rat",43,"ventral part of telencephalon"
"rat",43,"striatum"
"rat",43,"basal nuclear complex"
"mouse",43,"meso-epithelial cell"
"human",43,"mesenchymal stem cell"
"human",43,"endothelial cell of vascular tree"
"mouse",43,"hematopoietic oligopotent progenitor cell"
"human",43,"bone cell"
"rat",42,"central nervous system neuron"
"mouse",42,"blood"
"mouse",42,"haemolymphatic fluid"
"mouse",42,"vessel"
"mouse",42,"blood vessel"
"mouse",42,"blood vasculature"
"human",42,"arterial blood vessel"
"human",42,"arterial system"
"mouse",42,"conceptus"
"human",42,"cardiovascular system endothelium"
"human",42,"integumentary system layer"
"mouse",41,"cardiac ventricle"
"mouse",41,"embryonic tissue"
"human",41,"limbic lobe"
"rat",41,"dorsum"
"rat",41,"frontal lobe"
"human",41,"gut wall"
"human",41,"bone marrow cell"
"rat",40,"sensory system"
"rat",40,"entire sense organ system"
"mouse",40,"lymphoid system"
"human",40,"gland of integumental system"
"human",40,"exocrine gland of integumental system"
"human",40,"bronchus"
"mouse",40,"entire extraembryonic component"
"human",40,"macroglial cell"
"rat",40,"epithelium"
"mouse",40,"motor neuron"
"rat",40,"spinal cord"
"rat",40,"dorsal region element"
"rat",40,"fully formed stage"
"rat",40,"post-embryonic stage"
"human",40,"blood vessel endothelium"
"mouse",40,"meso-epithelium"
"mouse",39,"late adult stage"
"mouse",39,"olfactory lobe"
"human",39,"lymph node"
"human",39,"ovary"
"human",39,"foregut"
"rat",39,"frontal cortex"
"mouse",39,"cortex"
"rat",38,"CNS neuron (sensu Vertebrata)"
"mouse",38,"compound organ component"
"mouse",38,"surface structure"
"mouse",38,"endo-epithelium"
"human",38,"mammary gland"
"human",38,"zone of organ"
"mouse",38,"dentate gyrus of hippocampal formation"
"mouse",38,"germ line cell"
"human",38,"pancreas"
"human",38,"stomach"
"human",38,"food storage organ"
"human",38,"sexually immature stage"
"human",38,"surface structure"
"human",38,"gastrointestinal system mucosa"
"mouse",38,"hematopoietic lineage restricted progenitor cell"
"human",38,"blood vessel endothelial cell"
"mouse",37,"sensory organ epithelium"
"human",37,"astrocyte"
"human",37,"hippocampal formation"
"rat",37,"cell cluster"
"human",37,"hematopoietic stem cell"
"mouse",37,"lining cell"
"mouse",37,"barrier cell"
"mouse",37,"nerve"
"rat",36,"sense organ"
"mouse",36,"effector T cell"
"human",36,"uterine wall"
"mouse",36,"vestibulo-auditory system"
"rat",36,"neuron associated cell"
"mouse",36,"neural tissue"
"human",36,"effector T cell"
"human",36,"granulocyte"
"rat",35,"subdivision of head"
"rat",35,"face"
"mouse",35,"ciliated epithelium"
"rat",35,"primary circulatory organ"
"rat",35,"circulatory organ"
"mouse",35,"multi organ part structure"
"human",35,"dendritic cell"
"mouse",35,"white adipose tissue"
"human",35,"artery"
"human",35,"prefrontal cortex"
"mouse",35,"retinal cell"
"mouse",35,"CD8-positive, alpha-beta T cell"
"mouse",34,"lymph node"
"mouse",34,"respiratory tract epithelium"
"mouse",34,"respiratory system epithelium"
"mouse",34,"duct of male reproductive system"
"mouse",34,"ciliated columnar epithelium"
"mouse",34,"pseudostratified columnar epithelium"
"mouse",34,"pseudostratified ciliated columnar epithelium"
"mouse",34,"diencephalic nucleus"
"mouse",34,"zone of organ"
"mouse",34,"triceps surae"
"mouse",34,"hippocampal field"
"rat",34,"heart"
"rat",34,"heart plus pericardium"
"human",34,"photoreceptor array"
"rat",34,"ganglion"
"rat",34,"musculature of body"
"rat",34,"cell cluster organ"
"human",34,"hypodermis"
"human",34,"subcutaneous adipose tissue"
"human",34,"outer epithelium"
"mouse",34,"multi-cell-part structure"
"mouse",33,"afferent neuron"
"human",33,"chorioretinal region"
"rat",33,"dorsal root ganglion"
"rat",33,"musculature"
"rat",33,"sensory ganglion"
"rat",33,"reproductive system"
"rat",33,"reproductive structure"
"human",33,"intestinal mucosa"
"human",33,"wall of intestine"
"mouse",33,"contractile cell"
"human",33,"skin epidermis"
"human",33,"external integument structure"
"mouse",33,"nerve plexus"
"mouse",32,"sac"
"human",32,"epithelium of bronchus"
"mouse",32,"sensory neuron"
"human",32,"heterogeneous tissue"
"human",32,"lymphomyeloid tissue"
"human",32,"ventral part of telencephalon"
"human",32,"corpus striatum"
"human",32,"striatum"
"human",32,"basal forebrain"
"human",32,"basal nuclear complex"
"human",32,"retina"
"human",32,"posterior segment of eyeball"
"human",32,"CD8-positive, alpha-beta T cell"
