"et.Val","ee.Taxon","N"
"CTNNB1 [human] catenin (cadherin-associated protein), beta 1, 88kDa","human",9
"STAT1 [human] signal transducer and activator of transcription 1","human",9
"Srf [mouse] serum response factor","mouse",9
"HIF1A [human] hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)","human",9
"Kmt2a [mouse] lysine (K)-specific methyltransferase 2A","mouse",9
"EGFR [human] epidermal growth factor receptor","human",9
"Myd88 [mouse] myeloid differentiation primary response gene 88","mouse",9
"Apc [mouse] adenomatosis polyposis coli","mouse",9
"Smarca4 [mouse] SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","mouse",9
"Prdm1 [mouse] PR domain containing 1, with ZNF domain","mouse",9
"Stat1 [mouse] signal transducer and activator of transcription 1","mouse",9
"Fus [mouse] fused in sarcoma","mouse",9
"Eed [mouse] embryonic ectoderm development","mouse",9
"Eomes [mouse] eomesodermin","mouse",9
"Trem2 [mouse] triggering receptor expressed on myeloid cells 2","mouse",9
"Dmd [mouse] dystrophin, muscular dystrophy","mouse",8
"Pik3ca [mouse] phosphatidylinositol 3-kinase, catalytic, alpha polypeptide","mouse",8
"ABL1 [human] ABL proto-oncogene 1, non-receptor tyrosine kinase","human",8
"PBX1 [human] pre-B-cell leukemia homeobox 1","human",8
"TCF3 [human] transcription factor 3","human",8
"HRAS [human] v-Ha-ras Harvey rat sarcoma viral oncogene homolog","human",8
"Lep [mouse] leptin","mouse",8
"NRAS [human] neuroblastoma RAS viral (v-ras) oncogene homolog","human",8
"Arntl [mouse] aryl hydrocarbon receptor nuclear translocator-like","mouse",8
"Cebpa [mouse] CCAAT/enhancer binding protein (C/EBP), alpha","mouse",8
"Esrrb [mouse] estrogen related receptor, beta","mouse",8
"MYB [human] v-myb myeloblastosis viral oncogene homolog (avian)","human",8
"NFKB1 [human] nuclear factor of kappa light polypeptide gene enhancer in B-cells 1","human",8
"RELA [human] v-rel avian reticuloendotheliosis viral oncogene homolog A","human",8
"Dnmt3b [mouse] DNA methyltransferase 3B","mouse",8
"Hes1 [mouse] hes family bHLH transcription factor 1","mouse",8
"trisomy","mouse",7
"AR [human] androgen receptor","human",7
"Nrl [mouse] neural retina leucine zipper gene","mouse",7
"App [mouse] amyloid beta (A4) precursor protein","mouse",7
"Il10 [mouse] interleukin 10","mouse",7
"Drd1a [mouse] dopamine receptor D1A","mouse",7
"Drd2 [mouse] dopamine receptor D2","mouse",7
"Bmi1 [mouse] Bmi1 polycomb ring finger oncogene","mouse",7
"Clock [mouse] circadian locomoter output cycles kaput","mouse",7
"Gata4 [mouse] GATA binding protein 4","mouse",7
"Rag2 [mouse] recombination activating gene 2","mouse",7
"BRAF [human] v-raf murine sarcoma viral oncogene homolog B","human",7
"Notch1 [mouse] Notch gene homolog 1 (Drosophila)","mouse",7
"ERBB2 [human] v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","human",7
"TAL1 [human] T-cell acute lymphocytic leukemia 1","human",7
"LRRK2 [human] leucine-rich repeat kinase 2","human",7
"Hdac2 [mouse] histone deacetylase 2","mouse",7
"Neurod1 [mouse] neurogenic differentiation 1","mouse",7
"Lhx2 [mouse] LIM homeobox protein 2","mouse",7
"MECP2 [human] methyl CpG binding protein 2 (Rett syndrome)","human",6
"Nr4a2 [mouse] nuclear receptor subfamily 4, group A, member 2","mouse",6
"Mycn [mouse] v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","mouse",6
"Nanog [mouse] Nanog homeobox","mouse",6
"Foxo3 [mouse] forkhead box O3","mouse",6
"TP63 [human] tumor protein p63","human",6
"Ifng [mouse] interferon gamma","mouse",6
"Single-copy overexpression","mouse",6
"Aire [mouse] autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)","mouse",6
"NOTCH1 [human] notch 1","human",6
"Cebpb [mouse] CCAAT/enhancer binding protein (C/EBP), beta","mouse",6
"SNCA [human] synuclein, alpha (non A4 component of amyloid precursor)","mouse",6
"NR3C1 [human] nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","human",6
"HES1 [human] hairy and enhancer of split 1, (Drosophila)","human",6
"deletion","yeast",6
"Tcf3 [mouse] transcription factor 3","mouse",6
"MLL [human] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","mouse",6
"Neurog3 [mouse] neurogenin 3","mouse",6
"Kit [mouse] kit oncogene","mouse",6
"Brca1 [mouse] breast cancer 1","mouse",6
"Green fluorescent protein","mouse",6
"STAT6 [human] signal transducer and activator of transcription 6, interleukin-4 induced","human",6
"reference subject role","human",6
"EPAS1 [human] endothelial PAS domain protein 1","human",6
"Rnf2 [mouse] ring finger protein 2","mouse",6
"Suz12 [mouse] suppressor of zeste 12 homolog (Drosophila)","mouse",6
"RB1 [human] retinoblastoma 1","human",6
"ESRRA [human] estrogen-related receptor alpha","human",6
"Sall4 [mouse] sal-like 4 (Drosophila)","mouse",6
"Rest [mouse] RE1-silencing transcription factor","mouse",6
"Tardbp [mouse] TAR DNA binding protein","mouse",6
"Gata3 [mouse] GATA binding protein 3","mouse",6
"POU5F1 [human] POU class 5 homeobox 1","human",6
"SOX2 [human] SRY (sex determining region Y)-box 2","human",6
"SNCA [human] synuclein, alpha (non A4 component of amyloid precursor)","human",6
"siRNA","human",6
"high","mouse",6
"low","mouse",6
"Olig2 [mouse] oligodendrocyte transcription factor 2","mouse",6
"Foxo1 [mouse] forkhead box O1","mouse",6
"Shank3 [mouse] SH3/ankyrin domain gene 3","mouse",6
"ASCL1 [human] achaete-scute family bHLH transcription factor 1","human",6
"Tcf4 [mouse] transcription factor 4","mouse",6
"Chromosome 16","mouse",5
"Gja1 [mouse] gap junction protein, alpha 1","mouse",5
"Atf4 [mouse] activating transcription factor 4","mouse",5
"BCR [human] breakpoint cluster region","human",5
"Jun [mouse] jun proto-oncogene","mouse",5
"Akt1 [mouse] thymoma viral proto-oncogene 1","mouse",5
"FLI1 [human] Friend leukemia virus integration 1","human",5
"Hif1a [mouse] hypoxia inducible factor 1, alpha subunit","mouse",5
"HDAC3 [human] histone deacetylase 3","human",5
"CDK4 [human] cyclin-dependent kinase 4","human",5
"Cd14 [mouse] CD14 antigen","mouse",5
"Rbl1 [mouse] retinoblastoma-like 1 (p107)","mouse",5
"Ep300 [mouse] E1A binding protein p300","mouse",5
"E2f3 [mouse] E2F transcription factor 3","mouse",5
"Prnp [mouse] prion protein","mouse",5
"Wfs1 [mouse] Wolfram syndrome 1 homolog (human)","mouse",5
"ESR2 [human] estrogen receptor 2 (ER beta)","human",5
"Immunodepletion","human",5
"IKBKB [human] inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta","human",5
"Knockdown","worm",5
"mutation","fly",5
"Foxp1 [mouse] forkhead box P1","mouse",5
"E2f1 [mouse] E2F transcription factor 1","mouse",5
"reference subject role","mouse",5
"Lepr [mouse] leptin receptor","mouse",5
"IRF4 [human] interferon regulatory factor 4","human",5
"Erbb2 [mouse] v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","mouse",5
"MAPK1 [human] mitogen-activated protein kinase 1","human",5
"Tet1 [mouse] tet oncogene 1","mouse",5
"Hmgn1 [mouse] high mobility group nucleosomal binding domain 1","mouse",5
"Tgfbr2 [mouse] transforming growth factor, beta receptor II","mouse",5
"CEBPB [human] CCAAT/enhancer binding protein (C/EBP), beta","human",5
"SPDEF [human] SAM pointed domain containing ets transcription factor","human",5
"Trim28 [mouse] tripartite motif-containing 28","mouse",5
"Twist1 [mouse] twist basic helix-loop-helix transcription factor 1","mouse",5
"Pde6b [mouse] phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide","mouse",5
"AKT1 [human] v-akt murine thymoma viral oncogene homolog 1","human",5
"FOXM1 [human] forkhead box M1","human",5
"FOXO3 [human] forkhead box O3","human",5
"SP1 [human] Sp1 transcription factor","human",5
"JUN [human] jun proto-oncogene","human",5
"JUND [human] JunD proto-oncogene, AP-1 transcription factor subunit","human",5
"OTX2 [human] orthodenticle homeobox 2","human",5
"Pax5 [mouse] paired box gene 5","mouse",5
"Gfap [mouse] glial fibrillary acidic protein","mouse",5
"Hdac4 [mouse] histone deacetylase 4","mouse",5
"Hdac1 [mouse] histone deacetylase 1","mouse",5
"NR2F2 [human] nuclear receptor subfamily 2, group F, member 2","human",5
"Tnfrsf1b [mouse] tumor necrosis factor receptor superfamily, member 1b","mouse",5
"Hdac3 [mouse] histone deacetylase 3","mouse",5
"Otx2 [mouse] orthodenticle homolog 2","mouse",5
"Crx [mouse] cone-rod homeobox containing gene","mouse",5
"Gata2 [mouse] GATA binding protein 2","mouse",5
"CHD8 [human] chromodomain helicase DNA binding protein 8","human",5
"Cdx2 [mouse] caudal type homeo box 2","mouse",5
"Pbx1 [mouse] pre B cell leukemia homeobox 1","mouse",5
"Dlx1 [mouse] distal-less homeobox 1","mouse",4
"Igf1r [mouse] insulin-like growth factor I receptor","mouse",4
"Egr3 [mouse] early growth response 3","mouse",4
"C57BL/6J","mouse",4
"EGR1 [human] early growth response 1","human",4
"Ccnd1 [mouse] cyclin D1","mouse",4
"Npc1 [mouse] Niemann-Pick type C1","mouse",4
"EWSR1 [human] EWS RNA-binding protein 1","human",4
"Rtn4r [mouse] reticulon 4 receptor","mouse",4
"Crem [mouse] cAMP responsive element modulator","mouse",4
"GRN [human] granulin precursor","human",4
"Epas1 [mouse] endothelial PAS domain protein 1","mouse",4
"Mstn [mouse] myostatin","mouse",4
"NCOR2 [human] nuclear receptor co-repressor 2","human",4
"PTEN [human] phosphatase and tensin homolog","human",4
"Tgfb1 [mouse] transforming growth factor, beta 1","mouse",4
"Stat5a [mouse] signal transducer and activator of transcription 5A","mouse",4
"MIR124-1 [human] microRNA 124-1","human",4
"Hmgn5 [mouse] high-mobility group nucleosome binding domain 5","mouse",4
"Trim63 [mouse] tripartite motif-containing 63","mouse",4
"PDGFRA [human] platelet-derived growth factor receptor, alpha polypeptide","human",4
"Gfi1b [mouse] growth factor independent 1B","mouse",4
"Tbx3 [mouse] T-box 3","mouse",4
"Nras [mouse] neuroblastoma ras oncogene","mouse",4
"MYD88 [human] myeloid differentiation primary response 88","human",4
"Zeb2 [mouse] zinc finger E-box binding homeobox 2","mouse",4
"Snord116 [mouse] small nucleolar RNA, C/D box 116 cluster","mouse",4
"BCL2 [human] B-cell CLL/lymphoma 2","human",4
"MLLT3 [human] MLLT3, super elongation complex subunit","mouse",4
"WT1 [human] Wilms tumor 1","human",4
"Ikzf1 [mouse] IKAROS family zinc finger 1","mouse",4
"Olig1 [mouse] oligodendrocyte transcription factor 1","mouse",4
"Nr3c1 [mouse] nuclear receptor subfamily 3, group C, member 1","mouse",4
"Snca [mouse] synuclein, alpha","mouse",4
"TP53 [human] tumor protein p53","mouse",4
"Cdkn1a [mouse] cyclin-dependent kinase inhibitor 1A (P21)","mouse",4
"Nfatc1 [mouse] nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1","mouse",4
"Mavs [mouse] mitochondrial antiviral signaling protein","mouse",4
"Tsc1 [mouse] tuberous sclerosis 1","mouse",4
"TARDBP [human] TAR DNA binding protein","mouse",4
"FOSL2 [human] FOS-like antigen 2","human",4
"Gli1 [mouse] GLI-Kruppel family member GLI1","mouse",4
"ATM [human] ataxia telangiectasia mutated","human",4
"Ring1 [mouse] ring finger protein 1","mouse",4
"Tcra [mouse] T cell receptor alpha chain","mouse",4
"KRAS [human] v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","human",4
"Ebf1 [mouse] early B cell factor 1","mouse",4
"FOXA1 [human] forkhead box A1","human",4
"RBL2 [human] retinoblastoma-like 2","human",4
"CREBBP [human] CREB binding protein","human",4
"E2F1 [human] E2F transcription factor 1","human",4
"Gata1 [mouse] GATA binding protein 1","mouse",4
"REST [human] RE1-silencing transcription factor","human",4
"Hoxa5 [mouse] homeobox A5","mouse",4
"Insm1 [mouse] insulinoma-associated 1","mouse",4
"Ctcf [mouse] CCCTC-binding factor","mouse",4
"MECP2 [human] methyl CpG binding protein 2 (Rett syndrome)","mouse",4
"MIR203 [human] microRNA 203","human",4
"Ldlr [mouse] low density lipoprotein receptor","mouse",4
"XBP1 [human] X-box binding protein 1","human",4
"DICER1 [human] dicer 1, ribonuclease type III","human",4
"Spi1 [mouse] spleen focus forming virus (SFFV) proviral integration oncogene","mouse",4
"Stat5b [mouse] signal transducer and activator of transcription 5B","mouse",4
"Ifnb1 [mouse] interferon beta 1, fibroblast","mouse",4
"Lin28a [mouse] lin-28 homolog A (C. elegans)","mouse",4
"KLF4 [human] Kruppel like factor 4","human",4
"Myod1 [mouse] myogenic differentiation 1","mouse",4
"transgenic","mouse",4
"Pax3 [mouse] paired box gene 3","mouse",4
"MYCN [human] v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","mouse",4
"RELB [human] RELB proto-oncogene, NF-kB subunit","human",4
"Rbfox1 [mouse] RNA binding protein, fox-1 homolog (C. elegans) 1","mouse",4
"PSEN2 [human] presenilin 2","mouse",4
"KDM5A [human] lysine (K)-specific demethylase 5A","human",4
"Ly6c1 [mouse] lymphocyte antigen 6 complex, locus C1","mouse",4
"SMN2 [human] survival of motor neuron 2, centromeric","mouse",4
"Kdm5c [mouse] lysine (K)-specific demethylase 5C","mouse",4
"APOE [human] apolipoprotein E","mouse",4
"Fezf2 [mouse] Fez family zinc finger 2","mouse",4
"MIR9-1 [human] microRNA 9-1","human",4
"Sp9 [mouse] trans-acting transcription factor 9","mouse",4
"TCF4 [human] transcription factor 4","human",4
"Homozygous negative","rat",4
"ETV1 [human] ETS variant 1","human",4
"wild type genotype","rat",4
"Dlx2 [mouse] distal-less homeobox 2","mouse",3
"Atxn1 [mouse] ataxin 1","mouse",3
"Eif2ak3 [mouse] eukaryotic translation initiation factor 2 alpha kinase 3","mouse",3
"USF1 [human] upstream transcription factor 1","human",3
"Egr1 [mouse] early growth response 1","mouse",3
"Grin3b [mouse] glutamate receptor, ionotropic, NMDA3B","mouse",3
"Lmna [mouse] lamin A","mouse",3
"Cftr [mouse] cystic fibrosis transmembrane conductance regulator","mouse",3
"Ldb1 [mouse] LIM domain binding 1","mouse",3
"Ehmt2 [mouse] euchromatic histone lysine N-methyltransferase 2","mouse",3
"ERCC6 [human] excision repair cross-complementing rodent repair deficiency, complementation group 6","human",3
"Heterozygous","rat",3
"Atm [mouse] ataxia telangiectasia mutated homolog (human)","mouse",3
"Smo [mouse] smoothened homolog (Drosophila)","mouse",3
"HTT [human] huntingtin","rat",3
"HOXA9 [human] homeobox A9","human",3
"HDAC2 [human] histone deacetylase 2","human",3
"Ncor1 [mouse] nuclear receptor co-repressor 1","mouse",3
"Ahr [mouse] aryl-hydrocarbon receptor","mouse",3
"Met [mouse] met proto-oncogene","mouse",3
"PAX3 [human] paired box 3","human",3
"SDHD [human] succinate dehydrogenase complex, subunit D, integral membrane protein","human",3
"a [mouse] nonagouti","mouse",3
"HSF1 [human] heat shock transcription factor 1","human",3
"CCND1 [human] cyclin D1","human",3
"Hsf1 [mouse] heat shock factor 1","mouse",3
"Elavl1 [mouse] ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)","mouse",3
"TP73 [human] tumor protein p73","human",3
"Prdm16 [mouse] PR domain containing 16","mouse",3
"Ddit3 [mouse] DNA-damage inducible transcript 3","mouse",3
"Tcl1 [mouse] T cell lymphoma breakpoint 1","mouse",3
"Prop1 [mouse] paired like homeodomain factor 1","mouse",3
"Ccl3 [mouse] chemokine (C-C motif) ligand 3","mouse",3
"ATXN3 [human] ataxin 3","mouse",3
"UNC93B1 [human] unc-93 homolog B1 (C. elegans)","human",3
"IKBKG [human] inhibitor of nuclear factor kappa B kinase subunit gamma","human",3
"Tnf [mouse] tumor necrosis factor","mouse",3
"Dysf [mouse] dysferlin","mouse",3
"CFTR [human] cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","human",3
"Homozygous negative","yeast",3
"Sip1 [mouse] survival of motor neuron protein interacting protein 1","mouse",3
"YAP1 [human] Yes-associated protein 1, 65kDa","human",3
"GCN4 [yeast] Gcn4p","yeast",3
"FLT3 [human] fms-related tyrosine kinase 3","human",3
"CDH1 [human] cadherin 1, type 1, E-cadherin (epithelial)","human",3
"SNAI1 [human] snail homolog 1 (Drosophila)","human",3
"TGFB1 [human] transforming growth factor, beta 1","human",3
"Bcl6 [mouse] B-cell leukemia/lymphoma 6","mouse",3
"Hoxd13 [mouse] homeobox D13","mouse",3
"Tal1 [mouse] T-cell acute lymphocytic leukemia 1","mouse",3
"Il4ra [mouse] interleukin 4 receptor, alpha","mouse",3
"MALT1 [human] MALT1 paracaspase","human",3
"Cmah [mouse] cytidine monophospho-N-acetylneuraminic acid hydroxylase","mouse",3
"Aplp2 [mouse] amyloid beta (A4) precursor-like protein 2","mouse",3
"Hoxa11 [mouse] homeobox A11","mouse",3
"Hoxd11 [mouse] homeobox D11","mouse",3
"Tlr4 [mouse] toll-like receptor 4","mouse",3
"Lmx1a [mouse] LIM homeobox transcription factor 1 alpha","mouse",3
"E2f2 [mouse] E2F transcription factor 2","mouse",3
"Esrrg [mouse] estrogen-related receptor gamma","mouse",3
"Trim24 [mouse] tripartite motif-containing 24","mouse",3
"Stk11 [mouse] serine/threonine kinase 11","mouse",3
"PPARGC1A [human] peroxisome proliferator-activated receptor gamma, coactivator 1 alpha","human",3
"Xist [mouse] inactive X specific transcripts","mouse",3
"Irf8 [mouse] interferon regulatory factor 8","mouse",3
"Nkx2-5 [mouse] NK2 homeobox 5","mouse",3
"p53 [fly] CG33336 gene product from transcript CG33336-RB","fly",3
"UPF1 [human] UPF1, RNA helicase and ATPase","human",3
"Stat6 [mouse] signal transducer and activator of transcription 6","mouse",3
"Rbl2 [mouse] retinoblastoma-like 2","mouse",3
"Sox17 [mouse] SRY-box containing gene 17","mouse",3
"HLA-A [human] major histocompatibility complex, class I, A","human",3
"ras [fly] raspberry","fly",3
"Top2b [mouse] topoisomerase (DNA) II beta","mouse",3
"Braf-rs1 [mouse] Braf transforming gene, related sequence 1","mouse",3
"Camk2a [mouse] calcium/calmodulin-dependent protein kinase II alpha","mouse",3
"Tcrb [mouse] T cell receptor beta chain","mouse",3
"Dot1l [mouse] DOT1-like, histone H3 methyltransferase (S. cerevisiae)","mouse",3
"HRAS [human] v-Ha-ras Harvey rat sarcoma viral oncogene homolog","mouse",3
"PRKN [human] parkin RBR E3 ubiquitin protein ligase","human",3
"Pou1f1 [mouse] POU domain, class 1, transcription factor 1","mouse",3
"Mbd3 [mouse] methyl-CpG binding domain protein 3","mouse",3
"CEBPZ [human] CCAAT/enhancer binding protein zeta","human",3
"CDK2 [human] cyclin dependent kinase 2","human",3
"CEBPD [human] CCAAT enhancer binding protein delta","human",3
"CHEK1 [human] checkpoint kinase 1","human",3
"ETS1 [human] ETS proto-oncogene 1, transcription factor","human",3
"HSF2 [human] heat shock transcription factor 2","human",3
"MCM2 [human] minichromosome maintenance complex component 2","human",3
"MITF [human] melanocyte inducing transcription factor","human",3
"PCNA [human] proliferating cell nuclear antigen","human",3
"MAP2K1 [human] mitogen-activated protein kinase kinase 1","human",3
"SKP2 [human] S-phase kinase associated protein 2","human",3
"SP100 [human] SP100 nuclear antigen","human",3
"TCEA1 [human] transcription elongation factor A1","human",3
"PIAS1 [human] protein inhibitor of activated STAT 1","human",3
"CDC16 [human] cell division cycle 16","human",3
"CCNA2 [human] cyclin A2","human",3
"CCNB1 [human] cyclin B1","human",3
"CCND3 [human] cyclin D3","human",3
"NMI [human] N-myc and STAT interactor","human",3
"CDK1 [human] cyclin dependent kinase 1","human",3
"CDC25B [human] cell division cycle 25B","human",3
"Grn [mouse] granulin","mouse",3
"MAPK14 [human] mitogen-activated protein kinase 14","human",3
"FOXC1 [human] forkhead box C1","human",3
"FOXO1 [human] forkhead box O1","human",3
"FOS [human] Fos proto-oncogene, AP-1 transcription factor subunit","human",3
"HOXB7 [human] homeobox B7","human",3
"ID1 [human] inhibitor of DNA binding 1, dominant negative helix-loop-helix protein","human",3
"MYBL2 [human] MYB proto-oncogene like 2","human",3
"BCL6 [human] B-cell CLL/lymphoma 6","human",3
"STAT5B [human] signal transducer and activator of transcription 5B","human",3
"Foxa2 [mouse] forkhead box A2","mouse",3
"TMPRSS2 [human] transmembrane protease, serine 2","human",3
"Setdb1 [mouse] SET domain, bifurcated 1","mouse",3
"Bax [mouse] BCL2-associated X protein","mouse",3
"STAT5A [human] signal transducer and activator of transcription 5A","human",3
"Fgf21 [mouse] fibroblast growth factor 21","mouse",3
"CTCF [human] CCCTC-binding factor (zinc finger protein)","human",3
"GRHL2 [human] grainyhead-like 2 (Drosophila)","human",3
"MEF2A [human] myocyte enhancer factor 2A","human",3
"MEF2C [human] myocyte enhancer factor 2C","human",3
"pou5f1 [zebrafish] POU domain, class 5, transcription factor 1","zebrafish",3
"Smchd1 [mouse] SMC hinge domain containing 1","mouse",3
"TCF7L2 [human] transcription factor 7 like 2","human",3
"Hivep2 [mouse] human immunodeficiency virus type I enhancer binding protein 2","mouse",3
"Rxra [mouse] retinoid X receptor alpha","mouse",3
"TGFB1I1 [human] transforming growth factor beta 1 induced transcript 1","human",3
"SRF [human] serum response factor (c-fos serum response element-binding transcription factor)","human",3
"Fos [mouse] FBJ osteosarcoma oncogene","mouse",3
"Gba [mouse] glucosidase, beta, acid","mouse",3
"Tnfrsf1a [mouse] tumor necrosis factor receptor superfamily, member 1a","mouse",3
"Smad4 [mouse] SMAD family member 4","mouse",3
"BRD4 [human] bromodomain containing 4","human",3
"Irf5 [mouse] interferon regulatory factor 5","mouse",3
"RBL1 [human] retinoblastoma-like 1","human",3
"FOXD1 [human] forkhead box D1","human",3
"Id3 [mouse] inhibitor of DNA binding 3","mouse",3
"Klf5 [mouse] Kruppel-like factor 5","mouse",3
"Foxg1 [mouse] forkhead box G1","mouse",3
"Id1 [mouse] inhibitor of DNA binding 1","mouse",3
"Ncoa3 [mouse] nuclear receptor coactivator 3","mouse",3
"Pml [mouse] promyelocytic leukemia","mouse",3
"Sox1 [mouse] SRY (sex determining region Y)-box 1","mouse",3
"Zic3 [mouse] zinc finger protein of the cerebellum 3","mouse",3
"TLR3 [human] toll-like receptor 3","human",3
"Pdgfc [mouse] platelet-derived growth factor, C polypeptide","mouse",3
"ABL1 [human] ABL proto-oncogene 1, non-receptor tyrosine kinase","mouse",3
"BCR [human] breakpoint cluster region","mouse",3
"Rbpj [mouse] recombination signal binding protein for immunoglobulin kappa J region","mouse",3
"Mllt10 [mouse] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) translocated to, 10","mouse",3
"Hoxa10 [mouse] homeobox A10","mouse",3
"GATA2 [human] GATA binding protein 2","human",3
"Ercc1 [mouse] excision repair cross-complementing rodent repair deficiency, complementation group 1","mouse",3
"Mapk8 [mouse] mitogen-activated protein kinase 8","mouse",3
"IDH1 [human] isocitrate dehydrogenase 1 (NADP+), soluble","human",3
"NSD2 [human] nuclear receptor binding SET domain protein 2","human",3
"Brd2 [mouse] bromodomain containing 2","mouse",3
"Esr2 [mouse] estrogen receptor 2 (beta)","mouse",3
"Atf3 [mouse] activating transcription factor 3","mouse",3
"Mapt [mouse] microtubule-associated protein tau","mouse",3
"Isl1 [mouse] ISL1 transcription factor, LIM/homeodomain","mouse",3
